,ins_74901673,task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,j_217,10,Terminated,673795,673797,m_2637,1,1.1,13,16,0.02,0.02.1
0,ins_815802872,M1,j_1527,1,Terminated,158478,158520,m_3430,1,1,3.0,19.0,0.13,0.18
1,ins_564677701,M1,j_2014,1,Terminated,372602,372616,m_1910,1,1,87.0,116.0,0.04,0.05
2,ins_257566161,M1,j_2014,1,Terminated,372602,372615,m_2485,1,1,91.0,123.0,0.05,0.05
3,ins_688679908,M1,j_2014,1,Terminated,372602,372615,m_993,1,1,93.0,141.0,0.05,0.05
4,ins_929638393,M1,j_2014,1,Terminated,372603,372615,m_2808,1,1,100.0,137.0,0.05,0.05
5,ins_1349024140,M1,j_2014,1,Terminated,372603,372617,m_3736,1,1,82.0,111.0,0.05,0.05
6,ins_330247444,M1,j_2014,1,Terminated,372603,372617,m_1176,1,1,84.0,110.0,0.05,0.05
7,ins_833551291,M1,j_2014,1,Terminated,372602,372614,m_2682,1,1,90.0,159.0,0.05,0.05
8,ins_833550789,M1,j_2014,1,Terminated,372603,372619,m_3625,1,1,78.0,105.0,0.05,0.05
9,ins_1258031814,M1,j_2014,1,Terminated,372603,372617,m_1158,1,1,85.0,103.0,0.04,0.05
10,ins_257558831,M1,j_2014,1,Terminated,372603,372616,m_1357,1,1,88.0,118.0,0.05,0.05
11,ins_1336360163,M1,j_2014,1,Terminated,372602,372616,m_1548,1,1,88.0,105.0,0.05,0.05
12,ins_1349023741,M1,j_2014,1,Terminated,372602,372616,m_1176,1,1,85.0,123.0,0.05,0.05
13,ins_688610661,M1,j_2014,1,Terminated,372603,372615,m_956,1,1,96.0,157.0,0.05,0.05
14,ins_1014005407,M1,j_2014,1,Terminated,372602,372613,m_1118,1,1,103.0,165.0,0.05,0.05
15,ins_932605151,M1,j_2014,1,Terminated,372603,372618,m_307,1,1,78.0,104.0,0.05,0.05
16,ins_1122880689,M1,j_2014,1,Terminated,372602,372615,m_2872,1,1,93.0,152.0,0.05,0.05
17,ins_1176648417,M1,j_2014,1,Terminated,372603,372615,m_3888,1,1,93.0,123.0,0.05,0.05
18,ins_1077554681,M1,j_2014,1,Terminated,372604,372620,m_1321,1,1,75.0,106.0,0.05,0.05
19,ins_727053598,M1,j_2014,1,Terminated,372602,372614,m_2447,1,1,95.0,149.0,0.05,0.05
20,ins_675390710,M1,j_2014,1,Terminated,372602,372615,m_68,1,1,97.0,132.0,0.05,0.05
21,ins_932669740,M1,j_2014,1,Terminated,372602,372614,m_114,1,1,98.0,142.0,0.05,0.05
22,ins_1176648751,M1,j_2014,1,Terminated,372602,372615,m_3816,1,1,95.0,121.0,0.05,0.05
23,ins_1095275890,M1,j_2014,1,Terminated,372603,372617,m_956,1,1,85.0,107.0,0.05,0.05
24,ins_492639624,M1,j_2014,1,Terminated,372602,372615,m_3519,1,1,90.0,128.0,0.05,0.05
25,ins_996208271,M1,j_2014,1,Terminated,372603,372617,m_2804,1,1,86.0,140.0,0.05,0.05
26,ins_1013997678,M1,j_2014,1,Terminated,372603,372617,m_3737,1,1,85.0,120.0,0.04,0.05
27,ins_330247363,M1,j_2014,1,Terminated,372612,372620,m_2055,1,1,92.0,106.0,0.05,0.05
28,ins_929638681,M1,j_2014,1,Terminated,372602,372612,m_2391,1,1,105.0,134.0,0.05,0.05
29,ins_675383209,M1,j_2014,1,Terminated,372603,372621,m_622,1,1,69.0,93.0,0.04,0.05
30,ins_1339329727,M1,j_2014,1,Terminated,372601,372613,m_2983,1,1,95.0,133.0,0.05,0.05
